Timestamp,Acc_X,Acc_Y,Acc_Z,Acc_Betrag,Ori_X,Ori_Y,Ori_Z,Ori_Betrag
1735572561022,31,-13,942,942.5995968596634,9862,-4367,-6669,12680.902728118373
1735572561053,74,-22,1029,1031.8919517081233,9953,-4424,-8496,13813.616506910854
1735572561082,74,-22,1029,1031.8919517081233,10037,-4466,-10310,15065.942552658296
1735572561113,74,-22,1029,1031.8919517081233,10117,-4491,-12128,16419.840255008574
1735572561143,16,-41,1064,1064.909855339878,10209,-4476,-14003,17898.10788882445
1735572561172,16,-41,1064,1064.909855339878,10312,-4420,-15933,19486.770717591975
1735572561202,16,-41,1064,1064.909855339878,10376,-4342,-17851,21099.11232729946
1735572561233,37,-44,892,893.850658667319,10388,-4250,16244,19744.380972823634
1735572561263,37,-44,892,893.850658667319,10332,-4164,14376,18186.76705739643
1735572561292,37,-44,892,893.850658667319,10262,-4090,12514,16692.421633783397
1735572561322,37,-44,892,893.850658667319,10185,-4033,10655,15281.634042208967
1735572561353,133,-26,1028,1036.893919357231,10075,-4024,8883,14021.622231396765
1735572561382,133,-26,1028,1036.893919357231,9962,-4049,7143,12909.620211299789
1735572561412,133,-26,1028,1036.893919357231,9875,-4097,5399,11977.071219626274
1735572561442,-13,-27,1011,1011.4440172347652,9837,-4153,3633,11278.85929515924
1735572561472,-13,-27,1011,1011.4440172347652,9878,-4191,1772,10875.630970201224
1735572561502,-13,-27,1011,1011.4440172347652,9922,-4220,-90,10782.512879658434
1735572561532,90,-3,1016,1019.9828429929594,9978,-4241,-1965,11018.520318082641
1735572561562,90,-3,1016,1019.9828429929594,9962,-4282,-3744,11471.464771335874
1735572561593,90,-3,1016,1019.9828429929594,9960,-4327,-5527,12184.919285740058
1735572561622,90,-3,1016,1019.9828429929594,9971,-4370,-7314,13115.347383885795
1735572561652,30,-17,855,855.6950391348544,9990,-4390,-9124,14223.908604880728
1735572561683,30,-17,855,855.6950391348544,10027,-4398,-10958,15490.671289521317
1735572561713,30,-17,855,855.6950391348544,10059,-4398,-12792,16857.080085234214
1735572561742,17,-37,977,977.8481477202889,10136,-4394,-14676,18369.287084696563
1735572561772,17,-37,977,977.8481477202889,10232,-4368,-16589,19974.187567958805
1735572561802,17,-37,977,977.8481477202889,10301,-4321,17503,20763.83035472983
1735572561832,-12,-63,826,828.4859684991653,10330,-4262,15625,19209.741513096942
1735572561862,-12,-63,826,828.4859684991653,10356,-4188,13760,17723.53463618361
1735572561892,-12,-63,826,828.4859684991653,10355,-4109,11903,16303.107525867576
1735572561922,-12,-63,826,828.4859684991653,10332,-4032,10053,14968.969804231687
1735572561952,-39,-89,1112,1116.2374299404228,10349,-3939,8104,13721.965529762856
1735572561983,-39,-89,1112,1116.2374299404228,10345,-3838,6154,12634.119874371938
1735572562013,-39,-89,1112,1116.2374299404228,10311,-3741,4212,11749.584928838976
1735572562042,163,-7,1092,1104.120464442173,10174,-3698,2413,11090.899377417505
1735572562072,163,-7,1092,1104.120464442173,9931,-3745,785,10642.650562712279
1735572562102,163,-7,1092,1104.120464442173,9742,-3841,-846,10505.977393845847
1735572562132,-103,-80,1073,1080.8968498427591,9626,-3957,-2522,10708.791201624952
1735572562163,-103,-80,1073,1080.8968498427591,9818,-3995,-4578,11546.048371629144
1735572562193,-103,-80,1073,1080.8968498427591,9982,-3985,-6633,12630.013380832183
1735572562222,-103,-80,1073,1080.8968498427591,10109,-3936,-8680,13893.393286019078
1735572562253,239,58,1148,1174.0481250783546,9969,-3966,-10400,14942.225972056505
1735572562282,239,58,1148,1174.0481250783546,9762,-4066,-12000,15994.655357337339
1735572562312,239,58,1148,1174.0481250783546,9611,-4204,-13604,17178.87519600745
1735572562342,8,-83,1052,1055.2994835590512,9656,-4331,-15369,18660.17304314191
1735572562372,8,-83,1052,1055.2994835590512,9924,-4379,-17355,20466.006987197088
1735572562402,8,-83,1052,1055.2994835590512,10154,-4366,16660,19993.0305856816
